[Thu Jun 18 17:50:26.188965 2020] [mpm_prefork:notice] [pid 23] AH00163: Apache/2.4.29 (Ubuntu) configured -- resuming normal operations
[Thu Jun 18 17:50:26.189180 2020] [core:notice] [pid 23] AH00094: Command line: '/usr/sbin/apache2'
[Fri Jun 19 14:06:22.851900 2020] [php7:notice] [pid 27] [client 172.19.0.1:52512] PHP Notice:  Undefined variable: sql in /var/www/html/index.php on line 62, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:06:22.851975 2020] [php7:warn] [pid 27] [client 172.19.0.1:52512] PHP Warning:  mysqli::query(): Empty query in /var/www/html/index.php on line 62, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:08:44.968495 2020] [php7:notice] [pid 29] [client 172.19.0.1:52556] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 26, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:08:44.971174 2020] [php7:notice] [pid 29] [client 172.19.0.1:52556] PHP Notice:  Undefined variable: sql in /var/www/html/index.php on line 61, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:08:44.971278 2020] [php7:notice] [pid 29] [client 172.19.0.1:52556] PHP Notice:  Undefined variable: sql in /var/www/html/index.php on line 64, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:08:44.971371 2020] [php7:warn] [pid 29] [client 172.19.0.1:52556] PHP Warning:  mysqli::query(): Empty query in /var/www/html/index.php on line 64, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:08:55.099883 2020] [php7:notice] [pid 37] [client 172.19.0.1:52578] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 26, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:08:55.102327 2020] [php7:notice] [pid 37] [client 172.19.0.1:52578] PHP Notice:  Undefined variable: sql in /var/www/html/index.php on line 61, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:08:55.102415 2020] [php7:notice] [pid 37] [client 172.19.0.1:52578] PHP Notice:  Undefined variable: sql in /var/www/html/index.php on line 64, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:08:55.102473 2020] [php7:warn] [pid 37] [client 172.19.0.1:52578] PHP Warning:  mysqli::query(): Empty query in /var/www/html/index.php on line 64, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:09:23.662591 2020] [php7:notice] [pid 34] [client 172.19.0.1:52584] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 26, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:09:47.575217 2020] [php7:notice] [pid 30] [client 172.19.0.1:52606] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 26, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:09:49.136141 2020] [php7:notice] [pid 30] [client 172.19.0.1:52606] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 26, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:21.690277 2020] [php7:notice] [pid 27] [client 172.19.0.1:52630] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 26, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:21.692909 2020] [php7:warn] [pid 27] [client 172.19.0.1:52630] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:21.693014 2020] [php7:warn] [pid 27] [client 172.19.0.1:52630] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:21.693075 2020] [php7:warn] [pid 27] [client 172.19.0.1:52630] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:21.693116 2020] [php7:warn] [pid 27] [client 172.19.0.1:52630] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:21.693168 2020] [php7:notice] [pid 27] [client 172.19.0.1:52630] PHP Notice:  Undefined variable: sql in /var/www/html/index.php on line 51, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:21.693220 2020] [php7:warn] [pid 27] [client 172.19.0.1:52630] PHP Warning:  mysqli::query(): Empty query in /var/www/html/index.php on line 51, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:28.950654 2020] [php7:notice] [pid 28] [client 172.19.0.1:52652] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 26, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:28.951407 2020] [php7:warn] [pid 28] [client 172.19.0.1:52652] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:28.951425 2020] [php7:warn] [pid 28] [client 172.19.0.1:52652] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:28.951431 2020] [php7:warn] [pid 28] [client 172.19.0.1:52652] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:28.951436 2020] [php7:warn] [pid 28] [client 172.19.0.1:52652] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:28.951443 2020] [php7:notice] [pid 28] [client 172.19.0.1:52652] PHP Notice:  Undefined variable: sql in /var/www/html/index.php on line 51, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:28.951452 2020] [php7:warn] [pid 28] [client 172.19.0.1:52652] PHP Warning:  mysqli::query(): Empty query in /var/www/html/index.php on line 51, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:34.256266 2020] [php7:notice] [pid 29] [client 172.19.0.1:52662] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 26, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:34.260175 2020] [php7:warn] [pid 29] [client 172.19.0.1:52662] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:34.260258 2020] [php7:warn] [pid 29] [client 172.19.0.1:52662] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:34.260314 2020] [php7:notice] [pid 29] [client 172.19.0.1:52662] PHP Notice:  Undefined variable: sql in /var/www/html/index.php on line 51, referer: http://127.0.0.1:4444/index.php
